sk_rendimiento,fk_tiempo,fk_temporada,fk_equipo,fk_rival,es_local,goles_favor,goles_contra,tiros,tiros_puerta,corners,faltas,amarillas,rojas,resultado,xg_partido,xga_partido,source_id,load_timestamp
931,41,2,17,6,1,3,0,6,5,7,12,2,0,h,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.628908
932,41,2,6,17,0,0,3,10,1,7,10,1,0,D,1.5513157894736842,1.4252631578947368,F1_laliga,2026-05-22 10:28:50.628924
933,42,2,17,7,1,0,0,21,8,5,9,1,0,d,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.628980
934,42,2,7,17,0,0,0,11,4,6,9,2,0,D,1.3276315789473685,1.3571052631578948,F1_laliga,2026-05-22 10:28:50.628993
935,43,2,17,14,1,0,0,18,2,6,19,4,0,a,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.629047
936,43,2,14,17,0,0,0,8,2,2,7,1,0,D,1.4726315789473685,1.3428947368421054,F1_laliga,2026-05-22 10:28:50.629061
937,44,2,17,8,1,1,1,17,2,6,10,1,0,h,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.629115
938,44,2,8,17,0,1,1,10,3,4,5,1,0,D,1.1410526315789473,1.6102631578947368,F1_laliga,2026-05-22 10:28:50.629129
939,45,2,17,12,1,0,1,11,6,2,15,2,0,a,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.629182
940,45,2,12,17,0,1,0,6,4,5,12,0,0,D,1.541842105263158,1.4397368421052632,F1_laliga,2026-05-22 10:28:50.629196
941,46,2,17,1,1,3,0,11,8,3,10,2,0,h,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.629249
942,46,2,1,17,0,0,3,7,7,3,21,3,0,D,1.5813157894736842,1.466578947368421,F1_laliga,2026-05-22 10:28:50.629264
943,47,2,17,5,1,3,3,12,4,5,12,2,0,d,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.629327
944,47,2,5,17,0,3,3,8,5,8,7,3,0,D,1.1547368421052633,1.7807894736842105,F1_laliga,2026-05-22 10:28:50.629341
945,48,2,17,9,1,1,0,10,3,6,9,3,0,h,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.629397
946,48,2,9,17,0,0,1,12,6,2,15,3,0,D,1.1368421052631579,1.5555263157894736,F1_laliga,2026-05-22 10:28:50.629411
947,49,2,17,10,1,2,1,18,1,4,16,1,0,a,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.629464
948,49,2,10,17,0,1,2,8,6,4,19,2,0,D,1.0578947368421054,1.7786842105263159,F1_laliga,2026-05-22 10:28:50.629477
949,50,2,17,11,1,4,2,6,5,6,10,2,0,h,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.629530
950,50,2,11,17,0,2,4,5,5,5,8,1,0,D,1.0910526315789475,2.1178947368421053,F1_laliga,2026-05-22 10:28:50.629544
951,51,2,20,16,1,2,0,19,4,2,9,2,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.629631
952,51,2,16,20,0,0,2,8,8,6,8,3,0,D,2.49,0.8271052631578947,F1_laliga,2026-05-22 10:28:50.629647
953,52,2,20,4,1,0,3,15,5,5,15,1,0,a,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.629708
954,52,2,4,20,0,3,0,12,5,7,9,3,0,D,2.0500000000000003,0.758421052631579,F1_laliga,2026-05-22 10:28:50.629721
955,53,2,20,3,1,2,1,11,6,6,12,2,0,a,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.629778
956,53,2,3,20,0,1,2,12,3,5,12,3,0,D,2.215526315789474,1.1007894736842105,F1_laliga,2026-05-22 10:28:50.629792
957,54,2,20,18,1,0,2,16,1,6,8,4,0,a,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.629846
958,54,2,18,20,0,2,0,13,4,1,10,0,0,D,2.403421052631579,0.9710526315789473,F1_laliga,2026-05-22 10:28:50.629860
959,55,2,20,17,1,0,2,11,6,5,11,3,1,a,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.629914
960,55,2,17,20,0,2,0,15,1,4,20,3,0,D,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.629928
961,56,2,20,2,1,4,1,13,2,4,16,1,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.629982
962,56,2,2,20,0,1,4,13,6,8,14,4,0,D,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.629997
963,57,2,20,19,1,3,0,13,5,10,9,2,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630051
964,57,2,19,20,0,0,3,9,6,4,12,0,0,D,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.630064
965,58,2,20,15,1,1,1,9,6,7,15,3,0,d,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630118
966,58,2,15,20,0,1,1,18,1,3,16,2,0,D,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.630131
967,59,2,20,13,1,0,1,17,5,4,11,2,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630186
968,59,2,13,20,0,1,0,12,2,4,14,1,0,D,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.630199
969,60,2,20,6,1,2,2,9,6,2,11,2,0,a,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630251
970,60,2,6,20,0,2,2,16,1,7,11,3,0,D,1.5513157894736842,1.4252631578947368,F1_laliga,2026-05-22 10:28:50.630265
971,61,2,20,7,1,1,1,12,5,4,14,0,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630327
972,61,2,7,20,0,1,1,10,2,3,15,4,0,D,1.3276315789473685,1.3571052631578948,F1_laliga,2026-05-22 10:28:50.630342
973,62,2,20,14,1,2,2,13,2,3,9,3,1,d,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630397
974,62,2,14,20,0,2,2,7,6,4,12,1,0,D,1.4726315789473685,1.3428947368421054,F1_laliga,2026-05-22 10:28:50.630411
975,63,2,20,8,1,0,2,19,4,4,9,1,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630462
976,63,2,8,20,0,2,0,15,4,2,10,3,0,D,1.1410526315789473,1.6102631578947368,F1_laliga,2026-05-22 10:28:50.630476
977,64,2,20,12,1,2,2,13,3,7,9,3,0,d,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630529
978,64,2,12,20,0,2,2,13,5,5,11,0,0,D,1.541842105263158,1.4397368421052632,F1_laliga,2026-05-22 10:28:50.630542
979,65,2,20,1,1,0,0,15,8,9,12,2,0,d,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630645
980,65,2,1,20,0,0,0,10,2,1,5,3,0,D,1.5813157894736842,1.466578947368421,F1_laliga,2026-05-22 10:28:50.630660
981,66,2,20,5,1,2,2,10,3,1,11,2,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630722
982,66,2,5,20,0,2,2,8,6,7,8,0,0,D,1.1547368421052633,1.7807894736842105,F1_laliga,2026-05-22 10:28:50.630739
983,67,2,20,9,1,0,0,14,4,6,8,1,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630796
984,67,2,9,20,0,0,0,10,2,2,13,2,0,D,1.1368421052631579,1.5555263157894736,F1_laliga,2026-05-22 10:28:50.630810
985,68,2,20,10,1,1,0,12,8,3,16,1,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630864
986,68,2,10,20,0,0,1,12,2,3,2,3,1,D,1.0578947368421054,1.7786842105263159,F1_laliga,2026-05-22 10:28:50.630878
987,69,2,20,11,1,0,0,11,4,5,8,2,0,h,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.630931
988,69,2,11,20,0,0,0,11,3,6,16,1,0,D,1.0910526315789475,2.1178947368421053,F1_laliga,2026-05-22 10:28:50.630944
989,70,2,2,16,1,3,0,15,10,5,14,1,0,a,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.630997
990,70,2,16,2,0,0,3,8,2,1,16,2,0,D,2.49,0.8271052631578947,F1_laliga,2026-05-22 10:28:50.631010
991,71,2,2,4,1,3,3,10,2,3,9,0,0,d,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631062
992,71,2,4,2,0,3,3,13,5,5,8,2,0,D,2.0500000000000003,0.758421052631579,F1_laliga,2026-05-22 10:28:50.631078
993,72,2,2,3,1,2,2,11,4,6,13,3,0,d,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631130
994,72,2,3,2,0,2,2,16,1,4,9,1,0,D,2.215526315789474,1.1007894736842105,F1_laliga,2026-05-22 10:28:50.631144
995,73,2,2,18,1,1,1,12,6,5,17,2,0,d,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631195
996,73,2,18,2,0,1,1,10,1,3,15,1,0,D,2.403421052631579,0.9710526315789473,F1_laliga,2026-05-22 10:28:50.631209
997,74,2,2,17,1,1,1,10,8,6,11,2,0,d,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631261
998,74,2,17,2,0,1,1,17,6,2,6,3,0,D,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.631280
999,75,2,2,20,1,2,2,12,4,5,8,2,0,d,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631340
1000,75,2,20,2,0,2,2,6,3,5,7,1,0,D,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.631353
1001,76,2,2,19,1,1,0,9,4,6,15,2,0,h,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631408
1002,76,2,19,2,0,0,1,7,2,8,9,0,0,D,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.631423
1003,77,2,2,15,1,1,1,17,8,5,15,0,0,a,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631511
1004,77,2,15,2,0,1,1,10,2,5,18,3,0,D,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.631525
1005,78,2,2,13,1,1,1,16,6,2,15,0,0,h,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631627
1006,78,2,13,2,0,1,1,10,6,5,10,2,0,D,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.631642
1007,38,2,2,6,1,0,0,9,5,2,14,2,0,d,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631703
1008,38,2,6,2,0,0,0,6,4,4,11,1,0,D,1.5513157894736842,1.4252631578947368,F1_laliga,2026-05-22 10:28:50.631717
1009,39,2,2,7,1,2,3,17,5,5,8,1,0,h,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631773
1010,39,2,7,2,0,3,2,4,2,3,6,3,0,D,1.3276315789473685,1.3571052631578948,F1_laliga,2026-05-22 10:28:50.631786
1011,40,2,2,14,1,4,4,12,6,4,20,2,0,d,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631892
1012,40,2,14,2,0,4,4,8,6,7,13,1,0,D,1.4726315789473685,1.3428947368421054,F1_laliga,2026-05-22 10:28:50.631909
1013,41,2,2,8,1,3,1,21,2,6,12,3,0,h,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.631968
1014,41,2,8,2,0,1,3,10,5,3,12,1,0,D,1.1410526315789473,1.6102631578947368,F1_laliga,2026-05-22 10:28:50.631982
1015,42,2,2,12,1,1,1,10,4,5,7,3,0,a,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.632037
1016,42,2,12,2,0,1,1,17,6,0,10,1,0,D,1.541842105263158,1.4397368421052632,F1_laliga,2026-05-22 10:28:50.632051
1017,43,2,2,1,1,1,2,16,4,8,10,2,0,h,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.632108
1018,43,2,1,2,0,2,1,10,7,5,9,0,0,D,1.5813157894736842,1.466578947368421,F1_laliga,2026-05-22 10:28:50.632122
1019,44,2,2,5,1,1,0,21,2,5,13,0,0,h,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.632177
1020,44,2,5,2,0,0,1,13,7,1,13,3,0,D,1.1547368421052633,1.7807894736842105,F1_laliga,2026-05-22 10:28:50.632190
1021,45,2,2,9,1,1,0,14,9,6,11,2,0,h,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.632243
1022,45,2,9,2,0,0,1,17,5,2,8,3,0,D,1.1368421052631579,1.5555263157894736,F1_laliga,2026-05-22 10:28:50.632259
1023,46,2,2,10,1,2,0,10,5,3,14,1,0,h,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.632323
1024,46,2,10,2,0,0,2,15,5,2,14,2,1,D,1.0578947368421054,1.7786842105263159,F1_laliga,2026-05-22 10:28:50.632337
1025,47,2,2,11,1,1,0,8,4,4,5,0,0,h,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.632394
1026,47,2,11,2,0,0,1,4,3,2,13,3,0,D,1.0910526315789475,2.1178947368421053,F1_laliga,2026-05-22 10:28:50.632407
1027,48,2,19,16,1,1,2,13,5,4,8,1,0,a,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.632462
1028,48,2,16,19,0,2,1,8,7,4,14,4,0,D,2.49,0.8271052631578947,F1_laliga,2026-05-22 10:28:50.632475
1029,49,2,19,4,1,2,3,16,4,9,13,4,0,a,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.632528
1030,49,2,4,19,0,3,2,6,5,7,15,2,0,D,2.0500000000000003,0.758421052631579,F1_laliga,2026-05-22 10:28:50.632541
1031,50,2,19,3,1,3,2,15,9,6,13,3,0,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.632627
1032,50,2,3,19,0,2,3,8,4,5,9,1,0,D,2.215526315789474,1.1007894736842105,F1_laliga,2026-05-22 10:28:50.632644
1033,51,2,19,18,1,1,1,10,9,4,9,7,0,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.632706
1034,51,2,18,19,0,1,1,10,4,5,15,2,0,D,2.403421052631579,0.9710526315789473,F1_laliga,2026-05-22 10:28:50.632720
1035,52,2,19,17,1,3,3,12,4,3,6,3,0,d,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.632776
1036,52,2,17,19,0,3,3,9,0,4,15,4,0,D,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.632790
1037,53,2,19,20,1,0,0,14,3,6,7,1,1,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.632844
1038,53,2,20,19,0,0,0,11,5,5,11,1,0,D,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.632857
1039,54,2,19,2,1,1,0,11,4,1,8,1,1,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.632911
1040,54,2,2,19,0,0,1,15,5,4,11,5,0,D,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.632924
1041,55,2,19,15,1,1,2,14,3,6,13,4,0,a,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.632977
1042,55,2,15,19,0,2,1,8,4,4,10,3,0,D,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.632993
1043,56,2,19,13,1,0,3,11,4,3,8,6,0,a,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633047
1044,56,2,13,19,0,3,0,10,4,4,10,2,0,D,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.633063
1045,57,2,19,6,1,0,2,12,7,5,18,2,0,a,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633140
1046,57,2,6,19,0,2,0,12,4,3,7,0,0,D,1.5513157894736842,1.4252631578947368,F1_laliga,2026-05-22 10:28:50.633154
1047,58,2,19,7,1,1,1,15,7,5,12,0,0,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633219
1048,58,2,7,19,0,1,1,12,3,3,13,1,0,D,1.3276315789473685,1.3571052631578948,F1_laliga,2026-05-22 10:28:50.633233
1049,59,2,19,14,1,1,0,7,1,10,12,1,0,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633294
1050,59,2,14,19,0,0,1,8,5,3,17,1,0,D,1.4726315789473685,1.3428947368421054,F1_laliga,2026-05-22 10:28:50.633309
1051,60,2,19,8,1,1,1,15,4,4,11,4,0,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633368
1052,60,2,8,19,0,1,1,13,4,6,12,5,0,D,1.1410526315789473,1.6102631578947368,F1_laliga,2026-05-22 10:28:50.633383
1053,61,2,19,12,1,4,0,13,7,8,12,1,0,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633438
1054,61,2,12,19,0,0,4,8,7,3,12,0,0,D,1.541842105263158,1.4397368421052632,F1_laliga,2026-05-22 10:28:50.633452
1055,62,2,19,1,1,1,0,12,6,3,13,0,0,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633506
1056,62,2,1,19,0,0,1,9,1,3,12,1,0,D,1.5813157894736842,1.466578947368421,F1_laliga,2026-05-22 10:28:50.633520
1057,63,2,19,5,1,4,0,14,8,4,11,4,0,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633601
1058,63,2,5,19,0,0,4,4,1,6,9,0,0,D,1.1547368421052633,1.7807894736842105,F1_laliga,2026-05-22 10:28:50.633616
1059,64,2,19,9,1,0,0,13,2,7,12,2,0,h,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633681
1060,64,2,9,19,0,0,0,13,2,5,11,1,0,D,1.1368421052631579,1.5555263157894736,F1_laliga,2026-05-22 10:28:50.633695
1061,65,2,19,10,1,0,0,16,2,3,12,0,0,d,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633752
1062,65,2,10,19,0,0,0,7,0,1,12,1,0,D,1.0578947368421054,1.7786842105263159,F1_laliga,2026-05-22 10:28:50.633769
1063,66,2,19,11,1,0,4,13,5,3,11,3,0,a,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.633826
1064,66,2,11,19,0,4,0,7,5,2,14,3,0,D,1.0910526315789475,2.1178947368421053,F1_laliga,2026-05-22 10:28:50.633840
1065,67,2,15,16,1,1,1,21,5,3,10,4,0,a,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.633894
1066,67,2,16,15,0,1,1,11,2,6,19,2,0,D,2.49,0.8271052631578947,F1_laliga,2026-05-22 10:28:50.633907
1067,68,2,15,4,1,1,1,12,9,4,8,3,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.633964
1068,68,2,4,15,0,1,1,10,3,4,11,0,0,D,2.0500000000000003,0.758421052631579,F1_laliga,2026-05-22 10:28:50.633978
1069,69,2,15,3,1,0,1,12,7,4,10,0,0,a,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634032
1070,69,2,3,15,0,1,0,14,1,4,13,1,0,D,2.215526315789474,1.1007894736842105,F1_laliga,2026-05-22 10:28:50.634045
1071,70,2,15,18,1,3,2,12,9,7,12,2,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634099
1072,70,2,18,15,0,2,3,7,3,7,17,4,0,D,2.403421052631579,0.9710526315789473,F1_laliga,2026-05-22 10:28:50.634114
1073,71,2,15,17,1,0,0,14,3,4,12,3,0,d,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634168
1074,71,2,17,15,0,0,0,8,3,1,11,1,0,D,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.634182
1075,72,2,15,20,1,1,1,12,5,4,11,4,0,d,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634234
1076,72,2,20,15,0,1,1,13,4,1,15,4,0,D,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.634247
1077,73,2,15,2,1,1,2,8,7,4,11,2,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634308
1078,73,2,2,15,0,2,1,8,6,2,10,0,0,D,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.634322
1079,74,2,15,19,1,2,2,10,9,3,14,0,0,d,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634379
1080,74,2,19,15,0,2,2,5,4,5,9,2,0,D,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.634393
1081,75,2,15,13,1,4,3,9,2,7,8,0,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634445
1082,75,2,13,15,0,3,4,11,1,2,13,2,0,D,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.634461
1083,76,2,15,6,1,3,1,17,5,7,13,0,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634514
1084,76,2,6,15,0,1,3,4,3,6,12,0,0,D,1.5513157894736842,1.4252631578947368,F1_laliga,2026-05-22 10:28:50.634528
1085,77,2,15,7,1,3,1,12,5,8,7,2,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634607
1086,77,2,7,15,0,1,3,11,6,3,12,1,0,D,1.3276315789473685,1.3571052631578948,F1_laliga,2026-05-22 10:28:50.634622
1087,78,2,15,14,1,2,2,18,7,4,15,2,0,d,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634687
1088,78,2,14,15,0,2,2,11,2,4,12,2,0,D,1.4726315789473685,1.3428947368421054,F1_laliga,2026-05-22 10:28:50.634701
1089,38,2,15,8,1,1,1,21,3,8,14,2,0,d,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634756
1090,38,2,8,15,0,1,1,5,3,0,10,1,0,D,1.1410526315789473,1.6102631578947368,F1_laliga,2026-05-22 10:28:50.634770
1091,39,2,15,12,1,2,0,17,8,6,12,3,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634826
1092,39,2,12,15,0,0,2,5,2,2,15,2,0,D,1.541842105263158,1.4397368421052632,F1_laliga,2026-05-22 10:28:50.634841
1093,40,2,15,1,1,0,0,16,10,8,11,0,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.634943
1094,40,2,1,15,0,0,0,6,3,7,11,4,1,D,1.5813157894736842,1.466578947368421,F1_laliga,2026-05-22 10:28:50.634958
1095,41,2,15,5,1,2,0,14,2,6,18,2,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.635022
1096,41,2,5,15,0,0,2,10,8,7,7,1,0,D,1.1547368421052633,1.7807894736842105,F1_laliga,2026-05-22 10:28:50.635036
1097,42,2,15,9,1,2,0,15,2,7,13,1,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.635090
1098,42,2,9,15,0,0,2,14,3,4,8,0,0,D,1.1368421052631579,1.5555263157894736,F1_laliga,2026-05-22 10:28:50.635104
1099,43,2,15,10,1,3,1,11,5,5,15,2,0,h,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.635157
1100,43,2,10,15,0,1,3,10,8,1,13,4,0,D,1.0578947368421054,1.7786842105263159,F1_laliga,2026-05-22 10:28:50.635171
1101,44,2,15,11,1,0,1,14,7,4,15,2,0,a,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.635224
1102,44,2,11,15,0,1,0,14,7,0,10,1,0,D,1.0910526315789475,2.1178947368421053,F1_laliga,2026-05-22 10:28:50.635240
1103,45,2,13,16,1,3,0,18,7,5,13,1,0,h,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.635302
1104,45,2,16,13,0,0,3,9,3,5,10,5,0,D,2.49,0.8271052631578947,F1_laliga,2026-05-22 10:28:50.635316
1105,46,2,13,4,1,4,0,10,3,7,13,3,0,a,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.635375
1106,46,2,4,13,0,0,4,5,4,4,10,0,0,D,2.0500000000000003,0.758421052631579,F1_laliga,2026-05-22 10:28:50.635388
1107,47,2,13,3,1,1,0,18,3,7,13,4,0,h,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.635463
1108,47,2,3,13,0,0,1,8,6,5,9,3,0,D,2.215526315789474,1.1007894736842105,F1_laliga,2026-05-22 10:28:50.635488
1109,48,2,13,18,1,0,1,14,3,3,9,3,0,a,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.635577
1110,48,2,18,13,0,1,0,10,3,2,12,2,0,D,2.403421052631579,0.9710526315789473,F1_laliga,2026-05-22 10:28:50.635594
1111,49,2,13,17,1,3,1,14,4,7,14,1,0,h,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.635661
1112,49,2,17,13,0,1,3,7,6,5,13,2,0,D,2.288684210526316,1.2347368421052631,F1_laliga,2026-05-22 10:28:50.635676
1113,50,2,13,20,1,3,2,18,3,1,6,1,0,a,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.635733
1114,50,2,20,13,0,2,3,7,6,10,12,1,0,D,1.9792105263157893,1.3107894736842105,F1_laliga,2026-05-22 10:28:50.635747
1115,51,2,13,2,1,1,0,9,5,6,4,1,0,h,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.635803
1116,51,2,2,13,0,0,1,6,6,6,11,4,0,D,1.785,0.9705263157894738,F1_laliga,2026-05-22 10:28:50.635816
1117,52,2,13,19,1,1,1,8,6,11,12,2,0,d,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.635872
1118,52,2,19,13,0,1,1,7,1,1,5,1,1,D,1.8773684210526316,1.2973684210526315,F1_laliga,2026-05-22 10:28:50.635885
1119,53,2,13,15,1,3,0,13,3,10,15,5,0,h,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.635942
1120,53,2,15,13,0,0,3,16,2,3,6,2,0,D,1.8847368421052633,1.259736842105263,F1_laliga,2026-05-22 10:28:50.635955
1121,54,2,13,6,1,0,0,16,4,5,8,1,0,d,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.636009
1122,54,2,6,13,0,0,0,11,6,7,14,1,0,D,1.5513157894736842,1.4252631578947368,F1_laliga,2026-05-22 10:28:50.636024
1123,55,2,13,7,1,4,0,18,7,2,8,1,0,h,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.636079
1124,55,2,7,13,0,0,4,9,7,4,8,1,0,D,1.3276315789473685,1.3571052631578948,F1_laliga,2026-05-22 10:28:50.636093
1125,56,2,13,14,1,1,1,7,2,3,14,1,0,h,1.5421052631578949,1.4221052631578948,F1_laliga,2026-05-22 10:28:50.636148
1126,56,2,14,13,0,1,1,7,3,1,15,2,0,D,1.4726315789473685,1.3428947368421054,F1_laliga,2026-05-22 10:28:50.636161
